Year,Gallup_For,Gallup_Against,Pew_For,Pew_Against,FBR_For,FBR_Against,Ipsos_For,Ipsos_Against
2001,65,26,,,,,,
2002,63,30,,,,,75,
2003,63,33,,,,,,
2004,62,32,,,,,,
2005,66,30,,,,,74,
2006,61,32,,,,,76,
2007,59,37,,,,,74,
2008,56,38,,,,,75,
2009,57,36,52,43,,,70,
2010,59,34,,,,,76,
2011,,,,,,,,
2012,,,,,,,66,
2013,,,,,48,39,,
2014,,,47,50,,,68,
2015,,,,50,45,40,,
2016,,,,,52,33,65,
2017,,,,,,,,
2018,54,43,47,52,,,65,19
2019,,,,,,,,
2020,56,,,,47,35,,
2021,52,44,,,47,18,,
2022,52,39,,,,,,
2023,,,,,,,,
2024,,,,,,,,
