Item,Material,Source,Details,Lab location
Custom drill-guide grid(s),FormLabs resin,,3D-printed,
Custom guide-tube insertion guide(s),FormLabs resin,,3D-printed,
Custom electrode grid(s),FormLabs resin + stainless,,3D-printed,
Pre-assembled custom multidrive(s) and electrodes,FormLabs resin,,3D-printed,
Multidrive cap(s),Carbon-filled nylon,,3D-printed,
Cap screws,Nylon,McMaster-Carr,Apr-40,
Guide tubes,PTFE-coated microfil,MicroLumen,,
Stylets,Stainless steel,,,
Ground pins,Ceramic + Gold,,,
Silicone sealant + tips,Silicone,WPI,Kwik-Cast ,
