Vendor,Part #,Description,Quantity,Price (each)
Misumi,`HFSB6-3030 <https://uk.misumi-ec.com/vona2/detail/110302686450/>`_,"30x30mm aluminium profile x 600mm, 15mm M8 tapped holes",2,€ 7.32
Misumi,`HFCB6-3030 -B <https:/ /uk.misumi- ec.com/vona 2/detail/11 0302253940/>`_,Bolt retained black plastic end caps,2,€ 2.30
Misumi,`SBCB8-30 <https://uk. misumi-ec.c om/vona2/de tail/110302 280450/>`_,"M8, 30mm hex screws",2,€ 1.00
Misumi,`SPWF8 <https://uk.misumi-ec.com/vona2/detail/110300252910/>`_,M8 washers,2,€ 0.19
Misumi,`HNTT6-5 <https://uk.misumi-ec.com/vona2/detail/110302610850/>`_,"T-slot nuts, M5",4,€ 0.34
Misumi,`NTLF5-20 <https://uk. misumi-ec.c om/vona2/de tail/110300 518910/>`_,Plastic 3-lobed knob with M5 thread 20mm long,4,€ 1.60
Misumi,`NCRM6-30 <https://uk. misumi-ec.c om/vona2/de tail/110300 518730/>`_,"Plastic 4-arm knob with M6 thread, 30mm long",1,€ 2.50
Misumi,`NKSF8 <https://uk.misumi-ec.com/vona2/detail/110300518370/>`_,Plastic 7-arm knob with M8 thread,2,€ 2.05
Misumi,`F420813 <https://uk.misumi-ec.com/vona2/detail/221006203556/>`_,M8 hex nut,2,€ 2.01
Misumi,`F420610 <https://uk.misumi-ec.com/vona2/detail/221006203556/>`_,M6 hex nut,1,€ 1.98
Misumi,`ANE8-100 <https://uk. misumi-ec.c om/vona2/de tail/110300 247650/>`_,"M8 threaded rod, 100mm",2,€ 1.40
Misumi,`343.3-25-M 8-G <https: //uk.misumi -ec.com/von a2/detail/221006466850/?KWSearch= levelling%2 0feet&searc hFlow=resul ts2products>`_,M8 rubber levelling feet,2,€ 5.11
,,,**Total**,**€ 55.00**
