Vendor,Part #,Description,Function,Qty,Price,Total
McMaster,`47065T244 <https://www.mcmaster.com/47065T244/>`_,"10 series, 3-way corner",Rear panel corners,4,$10.65 ,$42.60 
McMaster,`3136N42 <https://www.mcmaster.com/3136N42-3136N422/>`_,T-slot plastic pull handles,Top handles,4,$13.98 ,$55.92 
McMaster,`47065T959 <https://www.mcmaster.com/47065T959/>`_,Flanged bearing,Headpost slide,2,$46.16 ,$92.32 
McMaster,`47065T771 <https://www.mcmaster.com/47065T771/>`_,Bearing pads,Headpost slide,6,$2.14 ,$12.84 
McMaster,`60585K31 <https://www.mcmaster.com/60585K31/>`_,Bearing brake,Headpost slide,2,$10.77 ,$21.54 
McMaster,`47065T239 <https://www.mcmaster.com/47065T239/>`_,"2"" corner bracket",Rear door corners,4,$5.25 ,$21.00 
McMaster,`93650A145 <https://www.mcmaster.com/93650A145/>`_,"1/4"" polyurethane washers",Washers for bolts,4,$8.82 ,$35.28 
McMaster,`3136N22 <https://www.mcmaster.com/3136N22-47065T92/>`_,"2"" end cap",Headpost end cap,2,$1.50 ,$3.00 
McMaster,`3136N2 <https://www.mcmaster.com/3136N2-47065T91/>`_,"1"" end cap",Headpost end cap,2,$1.20 ,$2.40 
McMaster,`98164A211 <https://www.mcmaster.com/98164A211/>`_,"316 SS 1/4""-20 screws, 1/2"" long",,10,$0.33 ,$3.30 
McMaster,`91735A546 <https://www.mcmaster.com/91735A546/>`_,"316 SS 1/4""-20 screws, 1.5"" long",,12,$0.59 ,$7.08 
McMaster,`92185A540 <https://www.mcmaster.com/92185A540/>`_,"316 SS 1/4""-20 screws, 3/4"" long",,4,$0.31 ,$1.24 
McMaster,`3136N147 <https://www.mcmaster.com/3136N147/>`_,T-slot rubber bumpers,,8,$3.29 ,$26.32 
8020,`14011 <https://8020.net/14011.html>`_,Inline pivot,Front panel corners,4,$17.75 ,$3.00 
8020,`4136 <https://8020.net/4136.html>`_,"2"" gusseted corner",Rear to top connection,2,$5.65 ,$3.00 
8020,`2107 <https://8020.net/2107.html>`_,Deadbolt latch,Rear door latch,2,$18.90 ,$37.80 
8020,`1030-S <https://8020.net/1030-s.html>`_,"1 x 3"" profile, 20""",Tray rails,2,$12.95 ,$25.90 
8020,`1002-S <https://8020.net/1002-s.html>`_,"1x1"" smooth, 12""",Rear door top,2,,$0.00 
8020,`1020 <https://8020.net/1020.html>`_,"1x2"" profile, 14""",Headpost slide,1,$7.41 ,$7.41 
8020,`1010 <https://8020.net/1010.html>`_,"1x1"" profile, 12""",Rear door verticals,2,,$0.00 
8020,`1003-S <https://8020.net/1003-s.html>`_,"1x1"" profile, 10""",Read door top,1,$4.25 ,$4.25 
8020,`1002-S <https://8020.net/1002-s.html>`_,"1x1"" smooth, 10""",Rear door bottom,1,$4.25 ,$4.25 
8020,`2059 <https://8020.net/2059.html>`_,Slide bearing pad,Rear door slide,4,$6.05 ,$24.20 
8020,`1010 <https://8020.net/1010.html>`_,"1x1"" profile, 15""",Rear vertical,2,$5.40 ,$10.80 
8020,`1010 <https://8020.net/1010.html>`_,"1x1"" profile, 10""",Rear horizontal,2,$4.25 ,$8.50 
Mid West Steel,"`1/4"" 5052 aluminium <https://www.midweststeelsupply.com/store/5052aluminumplate>`_","12.75 x 28""",Bottom panel,1,$43.49 ,$43.49 
Mid West Steel,"`3/8"" 5052 aluminium <https://www.midweststeelsupply.com/store/5052aluminumplate>`_","10 x 26""",Insert tray,1,$46.52 ,$46.52 
Tap Plastics,"`3/8"" polycarbonate <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_","12 x 26""",Side panels,2,$32.39 ,$64.78 
Tap Plastics,"`3/8"" polycarbonate <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_","12 x 10""",Rear door,1,$12.46 ,$12.46 
Tap Plastics,"`3/8"" polycarbonate <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_","12.75 x 24""",Top panel,1,$32.29 ,$32.29 
Tap Plastics,"`3/8"" polycarbonate <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_",12 x ,Neck plate A,1,,$0.00 
Tap Plastics,"`3/8"" polycarbonate <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_",10 x ,Neck plate B,1,,$0.00 
Grainger,`11K114 <https://www.grainger.com/product/CHICAGO-METALLIC-Display-Pans-11K114>`_,"9 x 26"" display pan",Drip tray,1,$23.66 ,$23.66 
,,,,,TOTAL =,$677.15 
