Vendor,Part #,Description,Qty,Price,Total
8020,`1010 <https://8020.net/1010.html>`_,"10 series, 1x1 - 12.75"" long",4,$2.93 ,$11.73 
8020,`1010 <https://8020.net/1010.html>`_,"10 series, 1x1 - 22"" long",2,$5.06 ,$10.12 
8020,`1020 <https://8020.net/1020.html>`_,"10 series, 2x1 - 15"" long",2,$5.85 ,$11.70 
8020,`3675 <https://8020.net/3675.html>`_,"1/4""-20 T-slot nuts, 18-8 stainless",50,$0.61 ,$30.50 
MidWest Steel,`5052 Aluminum Plate <https://www.midweststeelsupply.com/store/5052aluminumplate>`_,"12 x 12"", 1/4"" thick",1,$21.41 ,$21.41 
MidWest Steel,`5052 Aluminum Plate <https://www.midweststeelsupply.com/store/5052aluminumplate>`_,"12 x 12"", 1/4"" thick",1,,
MedCaster,`NM-05QD0-125-TL-TPS1 <https://medcaster.com/caster/nm/>`_,"Non-magnetic locking 5"" casters",4,$41.00 ,$164.00 
McMaster,`98164A211 <https://www.mcmaster.com/98164A211/>`_,"316 Stainless Steel 1/4""-20 screws, 1/2"" long",24,$0.33 ,$8.37 
McMaster,`91735A546 <https://www.mcmaster.com/91735A546/>`_,"316 Stainless Steel 1/4""-20 screws, 1.5"" long",10,$0.59 ,$5.89 
McMaster,`92185A540 <https://www.mcmaster.com/92185A540/>`_,"316 Stainless Steel 1/4""-20 screws, 3/4"" long",10,$0.31 ,$3.06 
McMaster,`3136N147 <https://www.mcmaster.com/3136N147/>`_,T-slot rubber bumpers,8,$3.29 ,$26.32 
,,,,**TOTAL =**,$293.10 
